count,班级,学号,学科,第一次成绩,第二次成绩,第三次成绩,第四次成绩,第五次成绩
55,901,14504,8,67,66,78,63,71
56,901,14504,7,67,77,77,82,71
57,901,14504,6,84,79,75,81,69
58,901,14504,5,60,73,77,83,80
59,901,14504,4,80,89,64,74,65
60,901,14504,3,86.5,118.5,86,121.5,81
61,901,14504,2,76,124,74,121,67
62,901,14504,1,69,88,79,96,69
63,901,14503,17,81,73,60,75,71
64,901,14503,8,67,71,69,83,71
65,901,14503,7,67,56,61,69,71
66,901,14503,6,82,82,78,69,76
67,901,14503,5,63,76,76,84,84
68,901,14503,4,90,93,85,93,82
69,901,14503,3,87,117,88,122.5,88
70,901,14503,2,91,140,91,136,93
71,901,14503,1,57,109,79,101,68
72,901,14502,17,76,78,74,73,76
73,901,14502,8,67,89,84,80,71
74,901,14502,7,67,81,73,78,71
75,901,14502,6,87,80,80,71,78
76,901,14502,5,87,83,87,85,94
77,901,14502,4,95,93,87,71,86
78,901,14502,3,80.5,126,86,123,82
79,901,14502,2,68,118,81,119,85
80,901,14502,1,66,104,85,96,78
81,901,14501,17,88,75,84,83,81
82,901,14501,8,67,90,91,89,71
83,901,14501,7,67,82,84,92,71
84,901,14501,6,93,72,87,90,79
85,901,14501,5,85,92,96,85,93
86,901,14501,4,86,92,90,86,94
87,901,14501,3,86.5,120,79,122,86
88,901,14501,2,77,137,89,117,83
89,901,14501,1,77,104,84,101,76
90,901,14500,17,77,82,69,70,64
91,901,14500,8,67,63,86,76,71
92,901,14500,7,67,69,73,88,71
93,901,14500,6,70,73,78,89,72
94,901,14500,5,73,84,86,81,76
95,901,14500,4,83,73,66,82,72
96,901,14500,3,83,116.5,86,116,83
97,901,14500,2,78,116,66,127,80
98,901,14500,1,71,105,72,101,83
99,901,14499,17,71,66,71,74,77
100,901,14499,8,67,71,78,77,71
101,901,14499,7,67,73,69,78,71
102,901,14499,6,81,63,80,85,71
103,901,14499,5,71,82,89,90,82
104,901,14499,4,81,87,65,93,86
105,901,14499,3,90,120.5,88,126.5,82
106,901,14499,2,91,118,75,139,86
107,901,14499,1,68,104,92,98,80
108,901,14498,17,95,86,91,74,66
109,901,14498,8,67,71,74,84,71
110,901,14498,7,67,76,79,81,71
111,901,14498,6,87,68,95,91,62
112,901,14498,5,78,85,78,89,80
113,901,14498,4,81,95,80,89,85
114,901,14498,3,88.5,124,87,126.5,91
115,901,14498,2,88,136,87,136,94
116,901,14498,1,80,101,95,84,78
117,901,14496,17,73,83,79,81,66
118,901,14496,8,67,84,86,71,71
119,901,14496,7,67,75,62,75,71
120,901,14496,6,80,80,79,74,68
121,901,14496,5,70,80,67,82,61
122,901,14496,4,80,96,65,86,76
123,901,14496,3,89.5,127.5,81,131.5,79
124,901,14496,2,86,119,80,113,79
125,901,14496,1,75,112,64,98,79
126,901,14494,17,82,82,89,78,87
127,901,14494,8,67,78,76,73,71
128,901,14494,7,67,76,80,87,71
129,901,14494,6,83,84,99,83,74
130,901,14494,5,65,78,77,87,87
131,901,14494,4,88,77,76,88,74
132,901,14494,3,79.5,117.5,90,125,81
133,901,14494,2,89,124,84,144,86
134,901,14494,1,72,112,83,108,78
135,901,14493,17,65,67,63,62,56
136,901,14493,8,67,61,72,74,71
137,901,14493,7,67,63,61,78,71
138,901,14493,6,78,80,67,69,63
139,901,14493,5,32,70,57,74,77
140,901,14493,4,66,81,83,82,82
141,901,14493,3,77.5,107,76,121.5,73
142,901,14493,2,76,129,82,128,92
143,901,14493,1,66,93,76,96,64
144,901,14492,17,86,83,79,74,73
145,901,14492,8,67,85,86,85,71
146,901,14492,7,67,80,80,84,71
147,901,14492,6,88,80,81,73,76
148,901,14492,5,85,80,93,95,86
149,901,14492,4,82,94,78,100,83
150,901,14492,3,90,124.5,84,130.5,79
151,901,14492,2,92,117,82,139,92
152,901,14492,1,70,106,87,105,72
153,901,14491,17,82,74,65,54,70
154,901,14491,8,67,79,87,84,71
155,901,14491,7,67,71,66,82,71
156,901,14491,6,81,71,81,87,67
157,901,14491,5,66,83,85,73,87
158,901,14491,4,92,86,77,91,76
159,901,14491,3,82.5,108.5,80,122.5,81
160,901,14491,2,83,120,74,128,82
161,901,14491,1,67,103,80,98,67
162,901,14489,17,75,70,79,76,77
163,901,14489,8,67,76,75,76,71
164,901,14489,7,67,71,74,84,71
165,901,14489,6,88,80,76,86,70
166,901,14489,5,66,84,81,79,82
167,901,14489,4,72,89,77,86,75
168,901,14489,3,80,122,88,126,84
169,901,14489,2,90,118,77,129,67
170,901,14489,1,74,112,82,101,78
171,901,14488,17,69,82,77,64,60
172,901,14488,8,67,74,72,68,71
173,901,14488,7,67,65,69,62,71
174,901,14488,6,85,73,87,85,64
175,901,14488,5,64,89,85,87,87
176,901,14488,4,75,84,87,86,81
177,901,14488,3,82,118.5,88,119.5,77
178,901,14488,2,85,141,95,141,87
179,901,14488,1,62,110,86,97,73
180,901,14486,17,73,76,82,62,69
181,901,14486,8,67,81,80,78,71
182,901,14486,7,67,77,75,89,71
183,901,14486,6,84,76,88,81,70
184,901,14486,5,70,90,81,91,89
185,901,14486,4,90,94,89,95,91
186,901,14486,3,88.5,119.5,86,122.5,84
187,901,14486,2,91,141,86,120,100
188,901,14486,1,73,98,72,96,88
189,901,14483,17,74,73,72,74,74
190,901,14483,8,67,90,87,87,71
191,901,14483,7,67,77,81,82,71
192,901,14483,6,80,78,92,91,77
193,901,14483,5,76,82,89,86,93
194,901,14483,4,84,95,87,90,91
195,901,14483,3,92.5,125.5,89,129.5,90
196,901,14483,2,94,143,94,150,85
197,901,14483,1,65,108,85,103,78
198,901,14481,17,62,67,67,52,80
199,901,14481,8,67,73,87,72,71
200,901,14481,7,67,63,62,66,71
201,901,14481,6,67,80,70,79,65
202,901,14481,5,69,62,79,86,82
203,901,14481,4,73,73,68,75,60
204,901,14481,3,65,122,76,119,58
205,901,14481,2,51,93,67,98,55
206,901,14481,1,62,88,66,100,68
207,901,14479,17,81,80,84,80,74
208,901,14479,8,67,79,78,79,71
209,901,14479,7,67,79,83,87,71
210,901,14479,6,91,83,95,90,77
211,901,14479,5,84,79,85,91,96
212,901,14479,4,80,80,64,82,84
213,901,14479,3,86.5,80,77,129,89
214,901,14479,2,85,88,74,120,85
215,901,14479,1,73,106,79,109,79
216,901,14478,17,88,79,84,73,74
217,901,14478,8,67,87,87,88,71
218,901,14478,7,67,85,79,85,71
219,901,14478,6,94,95,92,91,89
220,901,14478,5,82,90,92,95,82
221,901,14478,4,78,83,80,87,81
222,901,14478,3,90.5,129,93,138.5,90
223,901,14478,2,79,118,79,129,76
224,901,14478,1,80,120,82,105,87
225,901,14476,17,74,76,69,70,67
226,901,14476,8,67,69,80,72,71
227,901,14476,7,67,77,71,84,71
228,901,14476,6,84,68,91,89,67
229,901,14476,5,65,82,78,81,89
230,901,14476,4,83,84,70,83,75
231,901,14476,3,82.5,108,84,118.5,83
232,901,14476,2,87,117,86,136,82
233,901,14476,1,79,109,82,99,84
234,901,14475,17,80,81,83,82,88
235,901,14475,8,67,82,86,97,71
236,901,14475,7,67,89,87,93,71
237,901,14475,6,85,80,96,92,90
238,901,14475,5,83,86,92,91,89
239,901,14475,4,81,80,74,85,73
240,901,14475,3,93.5,90,84,125.5,91
241,901,14475,2,90,90,80,113,77
242,901,14475,1,82,126,91,113,88
243,901,14474,17,78,75,69,75,75
244,901,14474,8,67,72,77,87,71
245,901,14474,7,67,63,65,78,71
246,901,14474,6,89,70,94,78,77
247,901,14474,5,74,88,81,82,82
248,901,14474,4,87,91,64,79,86
249,901,14474,3,87,117.5,88,129.5,91
250,901,14474,2,78,141,84,129,80
251,901,14474,1,65,104,74,96,79
252,901,14473,17,76,77,58,69,71
253,901,14473,8,67,59,66,81,71
254,901,14473,7,67,63,57,71,71
255,901,14473,6,79,54,95,79,76
256,901,14473,5,64,66,77,64,60
257,901,14473,4,67,59,64,74,76
258,901,14473,3,87.5,120,72,130.5,85
259,901,14473,2,89,112,74,112,71
260,901,14473,1,69,114,73,104,77
261,901,14472,17,86,75,80,75,73
262,901,14472,8,67,69,74,81,71
263,901,14472,7,90,84,79,76,88
264,901,14472,6,90,76,86,87,71
265,901,14472,5,67,80,86,81,71
266,901,14472,4,83,91,75,78,86
267,901,14472,3,92,119,86,129,89
268,901,14472,2,76,114,79,125,88
269,901,14472,1,80,122,93,112,92
270,901,14471,17,81,77,80,79,79
271,901,14471,8,67,70,87,85,71
272,901,14471,7,67,68,83,76,71
273,901,14471,6,87,83,90,96,85
274,901,14471,5,84,80,82,83,84
275,901,14471,4,84,84,69,94,78
276,901,14471,3,88.5,117.5,87,126,85
277,901,14471,2,69,124,86,106,90
278,901,14471,1,65,103,74,108,70
279,901,14470,17,85,79,86,71,81
280,901,14470,8,67,75,79,88,71
281,901,14470,7,65,70,80,84,91
282,901,14470,6,92,86,90,86,70
283,901,14470,5,67,83,75,70,71
284,901,14470,4,79,85,88,88,81
285,901,14470,3,91,127.5,91,133,93
286,901,14470,2,92,117,88,130,81
287,901,14470,1,80,123,92,119,91
288,901,14469,17,81,84,77,65,71
289,901,14469,8,67,82,85,77,71
290,901,14469,7,67,75,74,81,71
291,901,14469,6,88,81,86,88,71
292,901,14469,5,69,78,83,77,87
293,901,14469,4,82,77,74,78,78
294,901,14469,3,91,120,91,133,87
295,901,14469,2,79,118,74,121,86
296,901,14469,1,75,110,75,114,81
297,901,14468,17,85,71,81,59,75
298,901,14468,8,67,81,88,70,71
299,901,14468,7,67,77,75,78,71
300,901,14468,6,88,72,87,85,72
301,901,14468,5,67,81,74,66,71
302,901,14468,4,75,74,74,89,70
303,901,14468,3,93,126.5,89,131.5,91
304,901,14468,2,80,112,85,105,61
305,901,14468,1,70,105,70,102,79
306,901,14467,17,77,71,79,69,74
307,901,14467,8,67,68,80,75,71
308,901,14467,7,67,62,81,81,71
309,901,14467,6,82,66,95,81,68
310,901,14467,5,67,70,86,73,71
311,901,14467,4,75,75,80,78,71
312,901,14467,3,83.5,117.5,80,127,82
313,901,14467,2,90,110,73,133,63
314,901,14467,1,77,105,80,101,71
315,901,14466,17,85,80,83,73,81
316,901,14466,8,67,86,91,82,71
317,901,14466,7,67,68,87,82,71
318,901,14466,6,91,86,96,92,85
319,901,14466,5,77,89,66,92,75
320,901,14466,4,83,72,78,82,70
321,901,14466,3,92,122,86,135,92
322,901,14466,2,82,107,75,111,77
323,901,14466,1,71,106,88,105,79
324,901,14465,17,83,71,84,66,72
325,901,14465,8,67,78,91,80,71
326,901,14465,7,67,69,64,85,71
327,901,14465,6,90,74,88,88,70
328,901,14465,5,69,79,74,88,68
329,901,14465,4,75,83,69,82,81
330,901,14465,3,89.5,126.5,85,122,87
331,901,14465,2,71,111,81,126,80
332,901,14465,1,84,92,82,102,80
333,901,14463,17,80,80,80,70,82
334,901,14463,8,67,82,92,90,71
335,901,14463,7,67,74,87,93,71
336,901,14463,6,91,90,90,90,88
337,901,14463,5,79,79,78,97,93
338,901,14463,4,95,90,70,89,74
339,901,14463,3,88.5,80,90,130.5,89
340,901,14463,2,79,80,84,115,89
341,901,14463,1,78,80,92,106,87
342,901,14462,17,80,85,86,87,81
343,901,14462,8,67,78,85,90,71
344,901,14462,7,67,85,83,86,71
345,901,14462,6,93,90,88,82,73
346,901,14462,5,79,92,91,95,88
347,901,14462,4,84,84,81,81,87
348,901,14462,3,87,111.5,88,123,80
349,901,14462,2,87,129,87,120,89
350,901,14462,1,63,103,89,96,89
351,901,14461,17,88,79,86,76,76
352,901,14461,8,71,64,74,85,78
353,901,14461,7,67,85,78,78,71
354,901,14461,6,80,80,89,68,68
355,901,14461,5,67,81,74,69,71
356,901,14461,4,72,80,74,71,80
357,901,14461,3,83,127.5,88,129.5,91
358,901,14461,2,78,109,81,134,79
359,901,14461,1,76,113,88,103,81
360,901,14459,17,84,73,80,70,84
361,901,14459,8,67,72,77,86,71
362,901,14459,7,67,77,75,86,71
363,901,14459,6,90,68,98,87,87
364,901,14459,5,70,88,79,84,92
365,901,14459,4,82,81,71,81,87
366,901,14459,3,89,121,87,123,89
367,901,14459,2,81,107,85,132,84
368,901,14459,1,72,115,88,113,83
369,901,14458,17,75,75,83,82,85
370,901,14458,8,67,83,83,91,71
371,901,14458,7,82,80,88,89,95
372,901,14458,6,90,85,91,94,92
373,901,14458,5,65,70,86,83,71
374,901,14458,4,81,83,72,90,87
375,901,14458,3,95.5,126,89,132,93
376,901,14458,2,70,126,80,119,75
377,901,14458,1,76,127,91,103,86
378,901,14457,17,95,81,79,74,81
379,901,14457,8,67,75,86,70,71
380,901,14457,7,67,84,81,83,71
381,901,14457,6,92,61,87,88,67
382,901,14457,5,67,83,73,77,71
383,901,14457,4,80,69,60,59,57
384,901,14457,3,91,126,87,128,94
385,901,14457,2,74,118,65,106,67
386,901,14457,1,68,112,77,104,82
387,901,14455,17,86,74,81,73,73
388,901,14455,8,67,68,73,74,71
389,901,14455,7,74,80,84,89,93
390,901,14455,6,72,70,66,62,61
391,901,14455,5,47,64,74,78,73
392,901,14455,4,67,89,72,66,71
393,901,14455,3,88,120.5,85,117.5,88
394,901,14455,2,67,106,76,94,70
395,901,14455,1,70,104,83,93,75
396,901,14454,17,88,79,75,71,76
397,901,14454,8,67,79,78,68,71
398,901,14454,7,73,80,78,76,71
399,901,14454,6,86,84,91,89,76
400,901,14454,5,63,58,71,80,81
401,901,14454,4,67,96,67,62,71
402,901,14454,3,87.5,113.5,87,120.5,80
403,901,14454,2,79,110,85,118,56
404,901,14454,1,75,116,80,93,76
405,902,14865,17,66,62,49,64,61
406,902,14865,8,67,81,80,86,71
407,902,14865,7,67,72,70,83,71
408,902,14865,6,83,63,86,73,90
409,902,14865,5,65,81,78,81,80
410,902,14865,4,85,79,99,72,96
411,902,14865,3,79.5,107.5,82,119,76
412,902,14865,2,83,128,88,131,92
413,902,14865,1,68,108,80,88,83
414,902,14829,17,69,74,78,66,69
415,902,14829,8,67,61,75,77,71
416,902,14829,7,67,71,62,80,71
417,902,14829,6,81,65,74,68,84
418,902,14829,5,62,67,77,82,76
419,902,14829,4,82,79,86,76,93
420,902,14829,3,78,112,81,125,82
421,902,14829,2,89,105,96,108,98
422,902,14829,1,50,105,86,82,72
423,902,14827,17,74,77,76,78,67
424,902,14827,8,67,82,86,90,71
425,902,14827,7,67,74,70,78,71
426,902,14827,6,86,77,82,85,91
427,902,14827,5,61,68,83,90,82
428,902,14827,4,80,80,98,68,93
429,902,14827,3,89,103.5,87,115.5,84
430,902,14827,2,79,114,82,117,93
431,902,14827,1,66,98,74,100,75
432,902,14815,17,70,75,91,85,87
433,902,14815,8,67,82,91,88,71
434,902,14815,7,67,82,77,90,71
435,902,14815,6,87,84,90,94,94
436,902,14815,5,94,85,89,96,96
437,902,14815,4,94,92,88,92,98
438,902,14815,3,89,122.5,86,130,87
439,902,14815,2,89,124,93,114,100
440,902,14815,1,72,104,70,98,76
441,902,14788,17,82,74,75,65,67
442,902,14788,8,67,71,87,86,71
443,902,14788,7,67,70,79,88,71
444,902,14788,6,91,80,74,88,91
445,902,14788,5,82,87,75,85,82
446,902,14788,4,81,93,90,85,95
447,902,14788,3,92,125.5,90,141,91
448,902,14788,2,85,116,78,113,85
449,902,14788,1,77,120,79,106,86
450,902,14782,17,66,78,75,67,69
451,902,14782,8,67,79,79,84,71
452,902,14782,7,67,76,73,71,71
453,902,14782,6,88,73,85,83,93
454,902,14782,5,79,85,82,86,82
455,902,14782,4,88,82,88,69,94
456,902,14782,3,78,116,81,122,79
457,902,14782,2,79,109,93,82,88
458,902,14782,1,76,111,84,99,89
459,902,14776,17,73,68,65,79,56
460,902,14776,8,67,70,83,81,71
461,902,14776,7,67,70,69,69,71
462,902,14776,6,86,62,68,73,81
463,902,14776,5,63,80,62,80,70
464,902,14776,4,87,69,78,72,93
465,902,14776,3,84,117,88,120.5,82
466,902,14776,2,75,113,92,110,85
467,902,14776,1,65,106,89,106,75
468,902,14769,17,76,71,72,67,73
469,902,14769,8,70,55,80,87,79
470,902,14769,7,67,77,80,84,71
471,902,14769,6,81,62,76,77,86
472,902,14769,5,77,67,75,80,77
473,902,14769,4,78,93,100,95,98
474,902,14769,3,77.5,123,87,131.5,81
475,902,14769,2,79,127,84,130,97
476,902,14769,1,67,107,86,104,87
477,902,14758,17,79,68,67,67,72
478,902,14758,8,67,79,80,84,71
479,902,14758,7,67,68,65,82,71
480,902,14758,6,87,61,78,70,84
481,902,14758,5,66,62,71,79,69
482,902,14758,4,84,85,98,77,97
483,902,14758,3,75,103.5,79,116.5,72
484,902,14758,2,85,110,77,104,87
485,902,14758,1,62,100,72,101,77
486,902,14749,17,68,73,72,60,61
487,902,14749,8,67,72,80,77,71
488,902,14749,7,67,57,62,64,71
489,902,14749,6,81,62,84,71,82
490,902,14749,5,78,65,64,77,71
491,902,14749,4,79,86,90,83,92
492,902,14749,3,78,105.5,81,123.5,69
493,902,14749,2,83,106,75,111,84
494,902,14749,1,65,104,78,88,77
495,902,14741,17,78,85,69,70,59
496,902,14741,8,67,75,83,80,71
497,902,14741,7,67,70,72,81,71
498,902,14741,6,73,66,78,82,80
499,902,14741,5,80,63,79,85,85
500,902,14741,4,95,86,95,78,95
501,902,14741,3,72,97.5,68,110.5,64
502,902,14741,2,71,97,89,106,88
503,902,14741,1,57,106,74,96,81
504,902,14739,17,84,69,78,79,75
505,902,14739,8,67,82,86,79,71
506,902,14739,7,67,73,78,72,71
507,902,14739,6,92,77,91,83,99
508,902,14739,5,87,83,74,86,89
509,902,14739,4,91,97,100,88,94
510,902,14739,3,82,105.5,89,122,93
511,902,14739,2,92,129,95,138,95
512,902,14739,1,76,96,84,98,77
513,902,14737,17,74,78,72,56,67
514,902,14737,8,67,70,71,70,71
515,902,14737,7,67,65,72,65,71
516,902,14737,6,67,51,67,56,78
517,902,14737,5,58,63,60,76,67
518,902,14737,4,73,73,82,74,91
519,902,14737,3,80,112,76,121.5,82
520,902,14737,2,77,112,77,115,85
521,902,14737,1,74,106,70,104,76
522,902,14726,17,87,84,82,80,80
523,902,14726,8,77,62,88,80,92
524,902,14726,7,67,85,73,86,71
525,902,14726,6,91,74,72,89,92
526,902,14726,5,67,74,86,96,71
527,902,14726,4,94,79,94,74,98
528,902,14726,3,93.5,125,87,130.5,94
529,902,14726,2,84,129,86,119,81
530,902,14726,1,67,110,84,99,77
531,902,14695,17,75,87,76,77,76
532,902,14695,8,67,64,84,76,71
533,902,14695,7,67,70,68,87,71
534,902,14695,6,85,69,90,87,83
535,902,14695,5,80,86,75,92,74
536,902,14695,4,83,85,81,80,96
537,902,14695,3,84,110,82,117.5,87
538,902,14695,2,88,120,76,127,98
539,902,14695,1,67,102,83,93,77
540,902,14679,17,76,76,67,79,64
541,902,14679,8,67,72,82,84,71
542,902,14679,7,67,67,85,78,71
543,902,14679,6,91,66,84,87,83
544,902,14679,5,69,80,82,88,80
545,902,14679,4,88,87,92,88,98
546,902,14679,3,89,117.5,94,126.5,83
547,902,14679,2,81,103,82,127,94
548,902,14679,1,75,98,79,100,85
549,902,14676,17,80,78,80,78,76
550,902,14676,8,67,87,87,79,71
551,902,14676,7,67,79,69,86,71
552,902,14676,6,81,66,83,84,92
553,902,14676,5,76,64,78,77,68
554,902,14676,4,89,86,78,58,87
555,902,14676,3,79.5,122,87,127,82
556,902,14676,2,85,100,86,87,89
557,902,14676,1,74,108,73,107,72
558,902,14656,17,64,74,76,73,77
559,902,14656,8,67,74,79,81,71
560,902,14656,7,67,68,78,81,71
561,902,14656,6,71,65,79,76,88
562,902,14656,5,53,66,68,66,84
563,902,14656,4,76,84,87,73,95
564,902,14656,3,84,117.5,75,133.5,79
565,902,14656,2,77,114,87,109,93
566,902,14656,1,74,110,83,96,89
567,902,14653,17,71,73,69,67,71
568,902,14653,8,67,78,79,79,71
569,902,14653,7,67,67,65,77,71
570,902,14653,6,69,77,72,91,71
571,902,14653,5,74,83,79,96,71
572,902,14653,4,70,93,85,96,71
573,902,14653,3,108,75,130.5,76,71
574,902,14653,2,124,66,105,89,71
575,902,14653,1,110,64,97,72,71
576,902,14648,17,75,73,70,70,82
577,902,14648,8,67,81,92,84,71
578,902,14648,7,67,67,71,76,71
579,902,14648,6,89,79,89,88,94
580,902,14648,5,80,87,85,92,96
581,902,14648,4,93,94,100,84,96
582,902,14648,3,86.5,106,83,128,79
583,902,14648,2,86,131,89,130,100
584,902,14648,1,70,109,78,112,79
585,902,14646,17,50,55,30,41,60
586,902,14646,8,67,54,55,70,71
587,902,14646,7,67,52,48,77,71
588,902,14646,6,60,21,23,57,67
589,902,14646,5,35,40,44,56,60
590,902,14646,4,76,75,98,73,95
591,902,14646,3,61.5,69,48,96,66
592,902,14646,2,77,131,98,115,96
593,902,14646,1,59,83,57,90,74
594,902,14645,17,78,79,78,76,75
595,902,14645,8,67,69,78,77,71
596,902,14645,7,67,73,81,75,71
597,902,14645,6,75,72,87,83,84
598,902,14645,5,77,77,70,76,90
599,902,14645,4,81,80,83,73,91
600,902,14645,3,84,129,81,124,90
601,902,14645,2,88,105,95,113,91
602,902,14645,1,70,108,76,91,80
603,902,14643,17,70,77,68,63,55
604,902,14643,8,67,73,83,72,71
605,902,14643,7,67,71,71,67,71
606,902,14643,6,77,69,73,79,93
607,902,14643,5,67,79,78,77,71
608,902,14643,4,80,86,91,68,89
609,902,14643,3,62.5,110,74,117.5,78
610,902,14643,2,93,110,97,101,96
611,902,14643,1,64,100,78,93,65
612,902,14628,17,80,79,82,79,83
613,902,14628,8,67,87,82,93,71
614,902,14628,7,67,70,69,84,71
615,902,14628,6,90,83,91,87,95
616,902,14628,5,78,94,91,91,91
617,902,14628,4,90,89,96,86,100
618,902,14628,3,93,132.5,93,141,90
619,902,14628,2,91,110,82,106,99
620,902,14628,1,82,117,86,107,91
621,902,14624,17,71,63,55,67,69
622,902,14624,8,67,73,78,69,71
623,902,14624,7,67,63,58,62,71
624,902,14624,6,82,56,77,78,85
625,902,14624,5,71,79,78,81,78
626,902,14624,4,88,80,86,68,85
627,902,14624,3,68,111,72,114.5,67
628,902,14624,2,83,111,81,138,91
629,902,14624,1,68,106,74,98,81
630,902,14610,17,65,70,77,73,74
631,902,14610,8,67,78,80,75,71
632,902,14610,7,67,76,71,76,71
633,902,14610,6,81,65,82,82,88
634,902,14610,5,70,85,81,91,95
635,902,14610,4,72,79,94,77,100
636,902,14610,3,78.5,112,87,124,86
637,902,14610,2,89,111,71,118,89
638,902,14610,1,77,98,78,97,78
639,902,14604,17,73,65,56,54,60
640,902,14604,8,67,60,61,67,71
641,902,14604,7,67,54,56,65,71
642,902,14604,6,74,51,76,60,67
643,902,14604,5,64,57,74,69,48
644,902,14604,4,80,74,79,76,87
645,902,14604,3,67,105,77,117,65
646,902,14604,2,75,89,86,104,71
647,902,14604,1,54,100,66,92,73
648,902,14597,17,61,68,74,65,67
649,902,14597,8,67,83,73,78,71
650,902,14597,7,67,60,67,79,71
651,902,14597,6,91,72,80,78,87
652,902,14597,5,58,76,79,89,90
653,902,14597,4,78,93,84,66,95
654,902,14597,3,80.5,111,82,118.5,87
655,902,14597,2,86,121,85,113,85
656,902,14597,1,70,99,81,111,81
657,902,14593,17,75,86,70,80,83
658,902,14593,8,67,81,78,81,71
659,902,14593,7,67,80,76,86,71
660,902,14593,6,93,73,85,87,93
661,902,14593,5,71,70,80,87,74
662,902,14593,4,85,82,96,79,99
663,902,14593,3,92,126,89,133.5,87
664,902,14593,2,74,107,80,93,86
665,902,14593,1,81,110,85,98,82
666,902,14590,17,66,71,60,50,57
667,902,14590,8,67,73,78,67,71
668,902,14590,7,67,64,59,74,71
669,902,14590,6,75,48,73,64,79
670,902,14590,5,67,56,57,62,62
671,902,14590,4,79,80,79,68,84
672,902,14590,3,58,101,65,102.5,58
673,902,14590,2,47,103,80,92,74
674,902,14590,1,63,96,75,93,58
675,902,14582,17,70,67,58,59,67
676,902,14582,8,67,68,84,68,71
677,902,14582,7,67,65,66,66,71
678,902,14582,6,83,70,89,84,87
679,902,14582,5,68,77,84,90,80
680,902,14582,4,93,81,88,80,95
681,902,14582,3,80.5,106,82,124.5,84
682,902,14582,2,76,111,86,134,87
683,902,14582,1,68,102,78,102,71
684,902,14581,17,77,75,81,75,78
685,902,14581,8,67,70,79,79,71
686,902,14581,7,67,68,68,75,71
687,902,14581,6,91,69,80,74,89
688,902,14581,5,73,72,71,78,75
689,902,14581,4,79,85,92,73,86
690,902,14581,3,86,109,87,126,85
691,902,14581,2,86,104,79,98,76
692,902,14581,1,72,110,83,102,82
693,902,14573,17,81,73,55,64,67
694,902,14573,8,67,63,87,82,71
695,902,14573,7,67,67,63,67,71
696,902,14573,6,88,39,92,87,90
697,902,14573,5,63,66,71,84,80
698,902,14573,4,83,70,84,77,94
699,902,14573,3,84.5,119,81,116,80
700,902,14573,2,79,126,93,112,81
701,902,14573,1,63,92,67,87,79
702,902,14560,17,69,81,76,75,82
703,902,14560,8,80,64,82,83,86
704,902,14560,7,67,73,71,75,71
705,902,14560,6,88,71,80,82,82
706,902,14560,5,83,76,84,80,76
707,902,14560,4,67,96,80,97,71
708,902,14560,3,92.5,132.5,93,142,89
709,902,14560,2,79,88,77,113,73
710,902,14560,1,80,117,84,108,87
711,902,14558,17,63,76,68,65,68
712,902,14558,8,74,62,75,85,76
713,902,14558,7,67,61,64,73,71
714,902,14558,6,83,64,77,72,87
715,902,14558,5,67,80,63,83,71
716,902,14558,4,82,71,82,87,89
717,902,14558,3,88.5,129,89,129.5,91
718,902,14558,2,73,110,91,88,78
